repo,run_id,workflow_name,status,conclusion,event,head_branch,created_at,run_started_at,updated_at,duration_sec
vercel/next.js,28303445545,upload-preview-tarballs,completed,skipped,workflow_run,canary,2026-06-27T22:15:58Z,2026-06-27T22:15:58Z,2026-06-27T22:16:08Z,10.0
vercel/next.js,28303445541,Sync Canary After Backport Release,completed,skipped,workflow_run,canary,2026-06-27T22:15:58Z,2026-06-27T22:15:58Z,2026-06-27T22:15:59Z,1.0
vercel/next.js,28303445197,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T22:15:57Z,2026-06-27T22:15:57Z,2026-06-27T22:16:12Z,15.0
vercel/next.js,28303445086,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T22:15:57Z,2026-06-27T22:15:57Z,2026-06-27T22:16:11Z,14.0
vercel/next.js,28303444381,build-and-deploy,completed,skipped,pull_request,hl/fix-next-deploy-build-id-extraction,2026-06-27T22:15:55Z,2026-06-27T22:15:55Z,2026-06-27T22:15:56Z,1.0
vercel/next.js,28303426789,Poll React Sync,completed,success,schedule,canary,2026-06-27T22:15:14Z,2026-06-27T22:15:14Z,2026-06-27T22:15:21Z,7.0
vercel/next.js,28303222193,Sync Canary After Backport Release,completed,success,workflow_run,canary,2026-06-27T22:06:21Z,2026-06-27T22:06:21Z,2026-06-27T22:06:27Z,6.0
vercel/next.js,28303222201,upload-preview-tarballs,completed,success,workflow_run,canary,2026-06-27T22:06:21Z,2026-06-27T22:06:21Z,2026-06-27T22:07:43Z,82.0
vercel/next.js,28303073780,Sync Canary After Backport Release,completed,skipped,workflow_run,canary,2026-06-27T22:00:12Z,2026-06-27T22:00:12Z,2026-06-27T22:00:13Z,1.0
vercel/next.js,28303073756,upload-preview-tarballs,completed,skipped,workflow_run,canary,2026-06-27T22:00:12Z,2026-06-27T22:00:12Z,2026-06-27T22:00:13Z,1.0
vercel/next.js,28303073818,Running Copilot Code Review,completed,success,dynamic,aurorascharff/cc-adoption-skill-non-interactive,2026-06-27T22:00:12Z,2026-06-27T22:00:12Z,2026-06-27T22:03:00Z,168.0
vercel/next.js,28303072432,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T22:00:09Z,2026-06-27T22:00:09Z,2026-06-27T22:00:27Z,18.0
vercel/next.js,28303072403,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T22:00:09Z,2026-06-27T22:00:09Z,2026-06-27T22:00:25Z,16.0
vercel/next.js,28303071211,build-and-deploy,completed,skipped,pull_request,aurorascharff/cc-adoption-skill-non-interactive,2026-06-27T22:00:07Z,2026-06-27T22:00:07Z,2026-06-27T22:00:09Z,2.0
vercel/next.js,28303068956,build-and-deploy,completed,success,push,aurorascharff/cc-adoption-skill-non-interactive,2026-06-27T22:00:04Z,2026-06-27T22:00:04Z,2026-06-27T22:06:18Z,374.0
vercel/next.js,28302868838,Poll React Sync,completed,success,schedule,canary,2026-06-27T21:51:32Z,2026-06-27T21:51:32Z,2026-06-27T21:51:40Z,8.0
vercel/next.js,28302576082,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T21:39:08Z,2026-06-27T21:39:08Z,2026-06-27T21:39:31Z,23.0
vercel/next.js,28302515234,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T21:36:31Z,2026-06-27T21:36:31Z,2026-06-27T21:36:47Z,16.0
vercel/next.js,28302330969,Poll React Sync,completed,success,schedule,canary,2026-06-27T21:29:08Z,2026-06-27T21:29:08Z,2026-06-27T21:29:16Z,8.0
vercel/next.js,28301889304,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T21:10:17Z,2026-06-27T21:10:17Z,2026-06-27T21:10:36Z,19.0
vercel/next.js,28301818567,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T21:07:15Z,2026-06-27T21:07:15Z,2026-06-27T21:07:38Z,23.0
vercel/next.js,28301659160,retry-deploy-tests,completed,skipped,workflow_run,canary,2026-06-27T21:00:39Z,2026-06-27T21:00:39Z,2026-06-27T21:00:40Z,1.0
vercel/next.js,28301606003,Poll React Sync,completed,success,schedule,canary,2026-06-27T20:58:32Z,2026-06-27T20:58:32Z,2026-06-27T20:58:42Z,10.0
vercel/next.js,28301519142,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:54:31Z,2026-06-27T20:54:31Z,2026-06-27T20:54:46Z,15.0
vercel/next.js,28301518734,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:54:30Z,2026-06-27T20:54:30Z,2026-06-27T20:54:48Z,18.0
vercel/next.js,28301481665,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:52:55Z,2026-06-27T20:52:55Z,2026-06-27T20:53:20Z,25.0
vercel/next.js,28301472553,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:52:31Z,2026-06-27T20:52:31Z,2026-06-27T20:52:48Z,17.0
vercel/next.js,28301375338,Sync Canary After Backport Release,completed,success,workflow_run,canary,2026-06-27T20:48:27Z,2026-06-27T20:48:27Z,2026-06-27T20:48:33Z,6.0
vercel/next.js,28301375353,upload-preview-tarballs,completed,success,workflow_run,canary,2026-06-27T20:48:27Z,2026-06-27T20:48:27Z,2026-06-27T20:49:33Z,66.0
vercel/next.js,28301236571,Sync Canary After Backport Release,completed,skipped,workflow_run,canary,2026-06-27T20:42:40Z,2026-06-27T20:42:40Z,2026-06-27T20:42:42Z,2.0
vercel/next.js,28301236570,upload-preview-tarballs,completed,skipped,workflow_run,canary,2026-06-27T20:42:40Z,2026-06-27T20:42:40Z,2026-06-27T20:42:42Z,2.0
vercel/next.js,28301235830,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:42:39Z,2026-06-27T20:42:39Z,2026-06-27T20:42:56Z,17.0
vercel/next.js,28301235847,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:42:39Z,2026-06-27T20:42:39Z,2026-06-27T20:42:56Z,17.0
vercel/next.js,28301235044,build-and-deploy,completed,skipped,pull_request,aurorascharff/cc-adoption-skill-non-interactive,2026-06-27T20:42:37Z,2026-06-27T20:42:37Z,2026-06-27T20:42:38Z,1.0
vercel/next.js,28301235131,build-and-test,completed,failure,pull_request,aurorascharff/cc-adoption-skill-non-interactive,2026-06-27T20:42:37Z,2026-06-27T20:42:37Z,2026-06-27T21:07:13Z,1476.0
vercel/next.js,28301235093,Generate Stats,completed,cancelled,pull_request,aurorascharff/cc-adoption-skill-non-interactive,2026-06-27T20:42:37Z,2026-06-27T20:42:37Z,2026-06-27T21:10:15Z,1658.0
vercel/next.js,28301233727,build-and-deploy,completed,success,push,aurorascharff/cc-adoption-skill-non-interactive,2026-06-27T20:42:34Z,2026-06-27T20:42:34Z,2026-06-27T20:48:25Z,351.0
vercel/next.js,28301039450,Poll React Sync,completed,success,schedule,canary,2026-06-27T20:34:36Z,2026-06-27T20:34:36Z,2026-06-27T20:34:50Z,14.0
vercel/next.js,28300976942,Sync Canary After Backport Release,completed,success,workflow_run,canary,2026-06-27T20:32:05Z,2026-06-27T20:32:05Z,2026-06-27T20:32:12Z,7.0
vercel/next.js,28300976983,upload-preview-tarballs,completed,success,workflow_run,canary,2026-06-27T20:32:05Z,2026-06-27T20:32:05Z,2026-06-27T20:33:30Z,85.0
vercel/next.js,28300976235,Sync Canary After Backport Release,completed,cancelled,workflow_run,canary,2026-06-27T20:32:03Z,2026-06-27T20:32:03Z,2026-06-27T20:32:06Z,3.0
vercel/next.js,28300976230,upload-preview-tarballs,completed,success,workflow_run,canary,2026-06-27T20:32:03Z,2026-06-27T20:32:03Z,2026-06-27T20:33:28Z,85.0
vercel/next.js,28300828764,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:26:07Z,2026-06-27T20:26:07Z,2026-06-27T20:26:23Z,16.0
vercel/next.js,28300824642,Sync Canary After Backport Release,completed,skipped,workflow_run,canary,2026-06-27T20:25:56Z,2026-06-27T20:25:56Z,2026-06-27T20:25:57Z,1.0
vercel/next.js,28300824649,upload-preview-tarballs,completed,skipped,workflow_run,canary,2026-06-27T20:25:56Z,2026-06-27T20:25:56Z,2026-06-27T20:26:04Z,8.0
vercel/next.js,28300824272,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:25:55Z,2026-06-27T20:25:55Z,2026-06-27T20:26:12Z,17.0
vercel/next.js,28300824322,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:25:55Z,2026-06-27T20:25:55Z,2026-06-27T20:26:13Z,18.0
vercel/next.js,28300823570,build-and-deploy,completed,skipped,pull_request,hl/instant-navs-blocking-route-deploy-fix,2026-06-27T20:25:53Z,2026-06-27T20:25:53Z,2026-06-27T20:25:54Z,1.0
vercel/next.js,28300823608,Generate Stats,completed,cancelled,pull_request,hl/instant-navs-blocking-route-deploy-fix,2026-06-27T20:25:53Z,2026-06-27T20:25:53Z,2026-06-27T20:54:28Z,1715.0
vercel/next.js,28300823615,build-and-test,completed,failure,pull_request,hl/instant-navs-blocking-route-deploy-fix,2026-06-27T20:25:53Z,2026-06-27T21:29:04Z,2026-06-27T21:39:06Z,602.0
vercel/next.js,28300822076,build-and-deploy,completed,success,push,hl/instant-navs-blocking-route-deploy-fix,2026-06-27T20:25:49Z,2026-06-27T20:25:49Z,2026-06-27T20:32:03Z,374.0
vercel/next.js,28300818878,upload-preview-tarballs,completed,skipped,workflow_run,canary,2026-06-27T20:25:42Z,2026-06-27T20:25:42Z,2026-06-27T20:25:42Z,
vercel/next.js,28300818885,Sync Canary After Backport Release,completed,skipped,workflow_run,canary,2026-06-27T20:25:42Z,2026-06-27T20:25:42Z,2026-06-27T20:25:43Z,1.0
vercel/next.js,28300818430,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:25:41Z,2026-06-27T20:25:41Z,2026-06-27T20:25:57Z,16.0
vercel/next.js,28300818406,PR CI Comment,completed,success,workflow_run,canary,2026-06-27T20:25:41Z,2026-06-27T20:25:41Z,2026-06-27T20:25:54Z,13.0
vercel/next.js,28300817590,Generate Stats,completed,cancelled,pull_request,hl/instant-navigation-testing-api-deployed,2026-06-27T20:25:39Z,2026-06-27T20:25:39Z,2026-06-27T20:54:29Z,1730.0
