DATE,value
1989-01-01,28019.0
1993-01-01,32869.0
1995-01-01,35932.0
1997-01-01,39047.0
1998-01-01,40878.0
1999-01-01,43865.0
2000-01-01,46547.0
2001-01-01,46787.0
2002-01-01,46068.0
2003-01-01,45896.0
2004-01-01,45819.0
2005-01-01,51882.0
2006-01-01,54452.0
2007-01-01,58052.0
2008-01-01,62682.0
2009-01-01,56313.0
2010-01-01,53580.0
2011-01-01,54893.0
2012-01-01,55816.0
2013-01-01,55474.0
2014-01-01,55516.0
2015-01-01,59911.0
2016-01-01,62824.0
2017-01-01,64901.0
2018-01-01,70808.0
2019-01-01,79235.0
2020-01-01,71504.0
2021-01-01,82820.0
2022-01-01,89798.0
2023-01-01,94510.0
2024-01-01,100751.0
