DATE,value
1989-01-01,27472.0
1993-01-01,34414.0
1995-01-01,38368.0
1997-01-01,40250.0
1998-01-01,43489.0
1999-01-01,45437.0
2000-01-01,48406.0
2001-01-01,47858.0
2002-01-01,46543.0
2003-01-01,45314.0
2004-01-01,45288.0
2005-01-01,48199.0
2006-01-01,50825.0
2007-01-01,53209.0
2008-01-01,55650.0
2009-01-01,53434.0
2010-01-01,51905.0
2011-01-01,53303.0
2012-01-01,57293.0
2013-01-01,60372.0
2014-01-01,61779.0
2015-01-01,65244.0
2016-01-01,70068.0
2017-01-01,72785.0
2018-01-01,76255.0
2019-01-01,80690.0
2020-01-01,82605.0
2021-01-01,84519.0
2022-01-01,95151.0
2023-01-01,97544.0
2024-01-01,97487.0
