DATE,value
1989-01-01,21564.0
1993-01-01,25466.0
1995-01-01,25918.0
1997-01-01,27713.0
1998-01-01,28398.0
1999-01-01,28581.0
2000-01-01,29460.0
2001-01-01,28510.0
2002-01-01,28164.0
2003-01-01,29162.0
2004-01-01,29792.0
2005-01-01,32453.0
2006-01-01,35834.0
2007-01-01,36894.0
2008-01-01,40087.0
2009-01-01,38458.0
2010-01-01,38186.0
2011-01-01,38478.0
2012-01-01,39077.0
2013-01-01,41988.0
2014-01-01,41895.0
2015-01-01,43192.0
2016-01-01,46604.0
2017-01-01,46762.0
2018-01-01,50501.0
2019-01-01,49780.0
2020-01-01,51485.0
2021-01-01,54068.0
2022-01-01,54735.0
2023-01-01,58616.0
2024-01-01,63451.0
