DATE,value
1989-01-01,25227.0
1993-01-01,30143.0
1995-01-01,32836.0
1997-01-01,36260.0
1998-01-01,37931.0
1999-01-01,37950.0
2000-01-01,40641.0
2001-01-01,39621.0
2002-01-01,39993.0
2003-01-01,40089.0
2004-01-01,41517.0
2005-01-01,43155.0
2006-01-01,47312.0
2007-01-01,49853.0
2008-01-01,51145.0
2009-01-01,53751.0
2010-01-01,49584.0
2011-01-01,49033.0
2012-01-01,50884.0
2013-01-01,54164.0
2014-01-01,54280.0
2015-01-01,56530.0
2016-01-01,61367.0
2017-01-01,65999.0
2018-01-01,68743.0
2019-01-01,75843.0
2020-01-01,85221.0
2021-01-01,77163.0
2022-01-01,84548.0
2023-01-01,91386.0
2024-01-01,95174.0
