DATE,value
1989-01-01,32248.0
1993-01-01,37512.0
1995-01-01,41655.0
1997-01-01,45350.0
1998-01-01,46033.0
1999-01-01,47712.0
2000-01-01,50845.0
2001-01-01,50604.0
2002-01-01,50045.0
2003-01-01,49085.0
2004-01-01,49683.0
2005-01-01,50484.0
2006-01-01,52217.0
2007-01-01,56114.0
2008-01-01,57293.0
2009-01-01,53158.0
2010-01-01,52363.0
2011-01-01,52111.0
2012-01-01,55392.0
2013-01-01,54657.0
2014-01-01,59049.0
2015-01-01,57029.0
2016-01-01,63197.0
2017-01-01,65750.0
2018-01-01,64509.0
2019-01-01,69455.0
2020-01-01,72340.0
2021-01-01,75138.0
2022-01-01,80645.0
2023-01-01,84796.0
2024-01-01,90698.0
