DATE,value
1989-01-01,29711.0
1993-01-01,33573.0
1995-01-01,37824.0
1997-01-01,40181.0
1998-01-01,41815.0
1999-01-01,43128.0
2000-01-01,45239.0
2001-01-01,43569.0
2002-01-01,42863.0
2003-01-01,42723.0
2004-01-01,43584.0
2005-01-01,48919.0
2006-01-01,50682.0
2007-01-01,52554.0
2008-01-01,54559.0
2009-01-01,52516.0
2010-01-01,51457.0
2011-01-01,50806.0
2012-01-01,52160.0
2013-01-01,53795.0
2014-01-01,55058.0
2015-01-01,56841.0
2016-01-01,60025.0
2017-01-01,61401.0
2018-01-01,63347.0
2019-01-01,69375.0
2020-01-01,71611.0
2021-01-01,72063.0
2022-01-01,76614.0
2023-01-01,80547.0
2024-01-01,82729.0
