DATE,value
1989-01-01,30714.0
1993-01-01,33248.0
1995-01-01,34023.0
1997-01-01,38763.0
1998-01-01,40141.0
1999-01-01,40672.0
2000-01-01,41965.0
2001-01-01,41823.0
2002-01-01,42457.0
2003-01-01,44093.0
2004-01-01,43811.0
2005-01-01,44033.0
2006-01-01,44814.0
2007-01-01,48435.0
2008-01-01,50285.0
2009-01-01,46509.0
2010-01-01,46359.0
2011-01-01,46125.0
2012-01-01,46952.0
2013-01-01,47123.0
2014-01-01,48973.0
2015-01-01,51070.0
2016-01-01,53344.0
2017-01-01,55178.0
2018-01-01,57300.0
2019-01-01,60251.0
2020-01-01,63919.0
2021-01-01,64087.0
2022-01-01,67033.0
2023-01-01,68810.0
2024-01-01,73166.0
