DATE,value
1989-01-01,30570.0
1993-01-01,33666.0
1995-01-01,37777.0
1997-01-01,40960.0
1998-01-01,42736.0
1999-01-01,41913.0
2000-01-01,43550.0
2001-01-01,42421.0
2002-01-01,41271.0
2003-01-01,41256.0
2004-01-01,41947.0
2005-01-01,42791.0
2006-01-01,44894.0
2007-01-01,46468.0
2008-01-01,47155.0
2009-01-01,46044.0
2010-01-01,46909.0
2011-01-01,47335.0
2012-01-01,47343.0
2013-01-01,47902.0
2014-01-01,50118.0
2015-01-01,51824.0
2016-01-01,54429.0
2017-01-01,56732.0
2018-01-01,59838.0
2019-01-01,61807.0
2020-01-01,65770.0
2021-01-01,63549.0
2022-01-01,70871.0
2023-01-01,74352.0
2024-01-01,78910.0
