DATE,value
1989-01-01,24845.0
1993-01-01,29440.0
1995-01-01,31944.0
1997-01-01,35616.0
1998-01-01,38943.0
1999-01-01,39093.0
2000-01-01,41657.0
2001-01-01,40709.0
2002-01-01,40082.0
2003-01-01,41036.0
2004-01-01,41767.0
2005-01-01,42576.0
2006-01-01,41357.0
2007-01-01,44881.0
2008-01-01,46305.0
2009-01-01,46693.0
2010-01-01,45415.0
2011-01-01,47584.0
2012-01-01,50455.0
2013-01-01,51156.0
2014-01-01,54872.0
2015-01-01,57886.0
2016-01-01,61038.0
2017-01-01,64974.0
2018-01-01,68069.0
2019-01-01,75456.0
2020-01-01,75355.0
2021-01-01,81262.0
2022-01-01,87619.0
2023-01-01,93572.0
2024-01-01,92395.0
