DATE,value
1989-01-01,27554.0
1993-01-01,30060.0
1995-01-01,32382.0
1997-01-01,35357.0
1998-01-01,37525.0
1999-01-01,38489.0
2000-01-01,40488.0
2001-01-01,38047.0
2002-01-01,37716.0
2003-01-01,37903.0
2004-01-01,38743.0
2005-01-01,40941.0
2006-01-01,41845.0
2007-01-01,42529.0
2008-01-01,42463.0
2009-01-01,38256.0
2010-01-01,39421.0
2011-01-01,38479.0
2012-01-01,39461.0
2013-01-01,40485.0
2014-01-01,41434.0
2015-01-01,41585.0
2016-01-01,43570.0
2017-01-01,45182.0
2018-01-01,46440.0
2019-01-01,50753.0
2020-01-01,51777.0
2021-01-01,52644.0
2022-01-01,55928.0
2023-01-01,57418.0
2024-01-01,59484.0
