DATE,value
1993-01-01,62607.0
1995-01-01,66137.0
1997-01-01,71057.0
1998-01-01,73337.0
1999-01-01,77707.0
2000-01-01,84009.0
2001-01-01,82986.0
2002-01-01,82834.0
2003-01-01,82648.0
2004-01-01,83890.0
2005-01-01,94173.0
2006-01-01,99934.0
2007-01-01,104984.0
2008-01-01,107075.0
2009-01-01,102325.0
2010-01-01,102726.0
2011-01-01,105409.0
2012-01-01,106690.0
2013-01-01,110658.0
2014-01-01,110507.0
2015-01-01,112844.0
2016-01-01,115518.0
2017-01-01,117989.0
2018-01-01,122035.0
2019-01-01,127898.0
2020-01-01,132509.0
2021-01-01,133845.0
2022-01-01,144632.0
2023-01-01,141353.0
2024-01-01,153889.0
