DATE,value
1989-01-01,29643.0
1993-01-01,34500.0
1995-01-01,35901.0
1997-01-01,39037.0
1998-01-01,40690.0
1999-01-01,41466.0
2000-01-01,41220.0
2001-01-01,43279.0
2002-01-01,42704.0
2003-01-01,42262.0
2004-01-01,41922.0
2005-01-01,44085.0
2006-01-01,47159.0
2007-01-01,49977.0
2008-01-01,52391.0
2009-01-01,50577.0
2010-01-01,50437.0
2011-01-01,50924.0
2012-01-01,51298.0
2013-01-01,52533.0
2014-01-01,54230.0
2015-01-01,56670.0
2016-01-01,56415.0
2017-01-01,58664.0
2018-01-01,60241.0
2019-01-01,61638.0
2020-01-01,61906.0
2021-01-01,63539.0
2022-01-01,68748.0
2023-01-01,72348.0
2024-01-01,74682.0
