DATE,value
1989-01-01,28249.0
1993-01-01,34216.0
1995-01-01,38184.0
1997-01-01,39586.0
1998-01-01,40720.0
1999-01-01,41968.0
2000-01-01,43454.0
2001-01-01,42810.0
2002-01-01,42243.0
2003-01-01,43756.0
2004-01-01,45793.0
2005-01-01,49565.0
2006-01-01,53472.0
2007-01-01,55960.0
2008-01-01,56691.0
2009-01-01,53512.0
2010-01-01,51427.0
2011-01-01,48343.0
2012-01-01,49583.0
2013-01-01,51071.0
2014-01-01,51241.0
2015-01-01,51624.0
2016-01-01,54455.0
2017-01-01,57217.0
2018-01-01,57155.0
2019-01-01,62131.0
2020-01-01,62496.0
2021-01-01,63735.0
2022-01-01,70838.0
2023-01-01,75103.0
2024-01-01,80047.0
