DATE,value
1989-01-01,31123.0
1993-01-01,32689.0
1995-01-01,33828.0
1997-01-01,36441.0
1998-01-01,37655.0
1999-01-01,38900.0
2000-01-01,42045.0
2001-01-01,41573.0
2002-01-01,41506.0
2003-01-01,41544.0
2004-01-01,43518.0
2005-01-01,48166.0
2006-01-01,51279.0
2007-01-01,53494.0
2008-01-01,55452.0
2009-01-01,54375.0
2010-01-01,52595.0
2011-01-01,52239.0
2012-01-01,52929.0
2013-01-01,54443.0
2014-01-01,55686.0
2015-01-01,59045.0
2016-01-01,61308.0
2017-01-01,64912.0
2018-01-01,67986.0
2019-01-01,72721.0
2020-01-01,75624.0
2021-01-01,77356.0
2022-01-01,82455.0
2023-01-01,86499.0
2024-01-01,90757.0
