DATE,value
1989-01-01,35438.0
1993-01-01,38486.0
1995-01-01,43653.0
1997-01-01,48054.0
1998-01-01,49449.0
1999-01-01,50398.0
2000-01-01,54517.0
2001-01-01,54054.0
2002-01-01,53252.0
2003-01-01,53815.0
2004-01-01,54471.0
2005-01-01,56004.0
2006-01-01,58275.0
2007-01-01,60943.0
2008-01-01,62275.0
2009-01-01,61651.0
2010-01-01,59252.0
2011-01-01,60811.0
2012-01-01,62500.0
2013-01-01,64331.0
2014-01-01,64490.0
2015-01-01,68902.0
2016-01-01,71184.0
2017-01-01,74568.0
2018-01-01,76067.0
2019-01-01,82323.0
2020-01-01,81772.0
2021-01-01,84220.0
2022-01-01,89418.0
2023-01-01,93642.0
2024-01-01,95372.0
