DATE,value
1989-01-01,27667.0
1993-01-01,31962.0
1995-01-01,34405.0
1997-01-01,38224.0
1998-01-01,41590.0
1999-01-01,42436.0
2000-01-01,44085.0
2001-01-01,42732.0
2002-01-01,43239.0
2003-01-01,43930.0
2004-01-01,45290.0
2005-01-01,55561.0
2006-01-01,59542.0
2007-01-01,63704.0
2008-01-01,68402.0
2009-01-01,68295.0
2010-01-01,63188.0
2011-01-01,65833.0
2012-01-01,66739.0
2013-01-01,71443.0
2014-01-01,75459.0
2015-01-01,75136.0
2016-01-01,77214.0
2017-01-01,84133.0
2018-01-01,84610.0
2019-01-01,93007.0
2020-01-01,87745.0
2021-01-01,84371.0
2022-01-01,95514.0
2023-01-01,100869.0
2024-01-01,105713.0
