DATE,value
1989-01-01,27647.0
1993-01-01,31812.0
1995-01-01,34558.0
1997-01-01,36979.0
1998-01-01,38327.0
1999-01-01,39401.0
2000-01-01,42656.0
2001-01-01,41202.0
2002-01-01,40697.0
2003-01-01,40671.0
2004-01-01,41725.0
2005-01-01,44183.0
2006-01-01,48776.0
2007-01-01,50988.0
2008-01-01,50674.0
2009-01-01,46826.0
2010-01-01,45105.0
2011-01-01,44635.0
2012-01-01,45565.0
2013-01-01,46675.0
2014-01-01,47069.0
2015-01-01,50593.0
2016-01-01,51312.0
2017-01-01,54021.0
2018-01-01,58037.0
2019-01-01,63133.0
2020-01-01,69074.0
2021-01-01,64579.0
2022-01-01,72129.0
2023-01-01,78487.0
2024-01-01,81645.0
