DATE,value
1989-01-01,22589.0
1993-01-01,24716.0
1995-01-01,26854.0
1997-01-01,28897.0
1998-01-01,29560.0
1999-01-01,29210.0
2000-01-01,30720.0
2001-01-01,29946.0
2002-01-01,29540.0
2003-01-01,30517.0
2004-01-01,30892.0
2005-01-01,32671.0
2006-01-01,33368.0
2007-01-01,35431.0
2008-01-01,37090.0
2009-01-01,36959.0
2010-01-01,34667.0
2011-01-01,34433.0
2012-01-01,35518.0
2013-01-01,36918.0
2014-01-01,39037.0
2015-01-01,41210.0
2016-01-01,41514.0
2017-01-01,40193.0
2018-01-01,46149.0
2019-01-01,47598.0
2020-01-01,55102.0
2021-01-01,52882.0
2022-01-01,56385.0
2023-01-01,60196.0
2024-01-01,60500.0
