DATE,value
1989-01-01,30746.0
1993-01-01,33916.0
1995-01-01,37583.0
1997-01-01,40134.0
1998-01-01,42192.0
1999-01-01,44054.0
2000-01-01,47024.0
2001-01-01,45921.0
2002-01-01,46038.0
2003-01-01,46376.0
2004-01-01,48304.0
2005-01-01,48752.0
2006-01-01,52522.0
2007-01-01,54733.0
2008-01-01,56511.0
2009-01-01,53284.0
2010-01-01,50424.0
2011-01-01,50785.0
2012-01-01,51442.0
2013-01-01,52066.0
2014-01-01,53929.0
2015-01-01,56017.0
2016-01-01,58742.0
2017-01-01,62221.0
2018-01-01,65234.0
2019-01-01,68634.0
2020-01-01,71799.0
2021-01-01,76230.0
2022-01-01,83668.0
2023-01-01,86973.0
2024-01-01,90919.0
