DATE,value
1989-01-01,29298.0
1993-01-01,32364.0
1995-01-01,35733.0
1997-01-01,38893.0
1998-01-01,39887.0
1999-01-01,39094.0
2000-01-01,41269.0
2001-01-01,40799.0
2002-01-01,41063.0
2003-01-01,41468.0
2004-01-01,42182.0
2005-01-01,41602.0
2006-01-01,43709.0
2007-01-01,46402.0
2008-01-01,48778.0
2009-01-01,46212.0
2010-01-01,47490.0
2011-01-01,49682.0
2012-01-01,50831.0
2013-01-01,51400.0
2014-01-01,52385.0
2015-01-01,54412.0
2016-01-01,56099.0
2017-01-01,58547.0
2018-01-01,59881.0
2019-01-01,64799.0
2020-01-01,64236.0
2021-01-01,68874.0
2022-01-01,71973.0
2023-01-01,76488.0
2024-01-01,80878.0
