DATE,value
1989-01-01,26778.0
1993-01-01,29759.0
1995-01-01,34966.0
1997-01-01,38225.0
1998-01-01,40038.0
1999-01-01,40608.0
2000-01-01,43153.0
2001-01-01,42422.0
2002-01-01,41553.0
2003-01-01,41781.0
2004-01-01,42334.0
2005-01-01,43055.0
2006-01-01,45542.0
2007-01-01,48876.0
2008-01-01,51372.0
2009-01-01,50604.0
2010-01-01,48018.0
2011-01-01,46989.0
2012-01-01,51580.0
2013-01-01,53624.0
2014-01-01,53519.0
2015-01-01,58764.0
2016-01-01,62292.0
2017-01-01,63587.0
2018-01-01,70756.0
2019-01-01,72469.0
2020-01-01,74707.0
2021-01-01,77851.0
2022-01-01,79432.0
2023-01-01,83290.0
2024-01-01,90423.0
