DATE,value
1989-01-01,30192.0
1993-01-01,34226.0
1995-01-01,36189.0
1997-01-01,36368.0
1998-01-01,39428.0
1999-01-01,40229.0
2000-01-01,43558.0
2001-01-01,42640.0
2002-01-01,42929.0
2003-01-01,44598.0
2004-01-01,46885.0
2005-01-01,52029.0
2006-01-01,53269.0
2007-01-01,57736.0
2008-01-01,57590.0
2009-01-01,55151.0
2010-01-01,53981.0
2011-01-01,52491.0
2012-01-01,52416.0
2013-01-01,53909.0
2014-01-01,56877.0
2015-01-01,57895.0
2016-01-01,59951.0
2017-01-01,63776.0
2018-01-01,66793.0
2019-01-01,72905.0
2020-01-01,76409.0
2021-01-01,78690.0
2022-01-01,86350.0
2023-01-01,90251.0
2024-01-01,92611.0
