DATE,value
1989-01-01,30024.0
1993-01-01,35388.0
1995-01-01,36642.0
1997-01-01,39461.0
1998-01-01,41657.0
1999-01-01,41794.0
2000-01-01,44796.0
2001-01-01,44526.0
2002-01-01,45231.0
2003-01-01,46351.0
2004-01-01,47215.0
2005-01-01,51713.0
2006-01-01,53689.0
2007-01-01,56823.0
2008-01-01,56882.0
2009-01-01,52502.0
2010-01-01,52655.0
2011-01-01,52236.0
2012-01-01,52617.0
2013-01-01,52980.0
2014-01-01,55803.0
2015-01-01,58735.0
2016-01-01,59728.0
2017-01-01,62959.0
2018-01-01,69475.0
2019-01-01,71891.0
2020-01-01,72953.0
2021-01-01,79611.0
2022-01-01,83985.0
2023-01-01,89984.0
2024-01-01,93331.0
