DATE,value
1989-01-01,22921.0
1993-01-01,26519.0
1995-01-01,29815.0
1997-01-01,32374.0
1998-01-01,34210.0
1999-01-01,36340.0
2000-01-01,39540.0
2001-01-01,38968.0
2002-01-01,38418.0
2003-01-01,38676.0
2004-01-01,38832.0
2005-01-01,42063.0
2006-01-01,42833.0
2007-01-01,44587.0
2008-01-01,45794.0
2009-01-01,45315.0
2010-01-01,47724.0
2011-01-01,46589.0
2012-01-01,49651.0
2013-01-01,49655.0
2014-01-01,50699.0
2015-01-01,52230.0
2016-01-01,53170.0
2017-01-01,54163.0
2018-01-01,54210.0
2019-01-01,58956.0
2020-01-01,60477.0
2021-01-01,63014.0
2022-01-01,65839.0
2023-01-01,69755.0
2024-01-01,72578.0
