DATE,value
1989-01-01,31627.0
1993-01-01,35648.0
1995-01-01,37239.0
1997-01-01,39427.0
1998-01-01,41909.0
1999-01-01,44009.0
2000-01-01,48363.0
2001-01-01,47944.0
2002-01-01,47867.0
2003-01-01,48766.0
2004-01-01,51939.0
2005-01-01,56224.0
2006-01-01,59279.0
2007-01-01,61724.0
2008-01-01,62820.0
2009-01-01,60103.0
2010-01-01,59759.0
2011-01-01,59290.0
2012-01-01,60235.0
2013-01-01,61365.0
2014-01-01,66034.0
2015-01-01,67053.0
2016-01-01,70693.0
2017-01-01,76048.0
2018-01-01,78777.0
2019-01-01,83576.0
2020-01-01,87126.0
2021-01-01,90756.0
2022-01-01,98365.0
2023-01-01,103476.0
2024-01-01,108754.0
