DATE,value
1989-01-01,30166.0
1993-01-01,34623.0
1995-01-01,37854.0
1997-01-01,43405.0
1998-01-01,47239.0
1999-01-01,51291.0
2000-01-01,55761.0
2001-01-01,54779.0
2002-01-01,53087.0
2003-01-01,51402.0
2004-01-01,51815.0
2005-01-01,57476.0
2006-01-01,64648.0
2007-01-01,67333.0
2008-01-01,73127.0
2009-01-01,70247.0
2010-01-01,70883.0
2011-01-01,69354.0
2012-01-01,72093.0
2013-01-01,76933.0
2014-01-01,83788.0
2015-01-01,90527.0
2016-01-01,101873.0
2017-01-01,109601.0
2018-01-01,110601.0
2019-01-01,121795.0
2020-01-01,121722.0
2021-01-01,119776.0
2022-01-01,135366.0
2023-01-01,125456.0
2024-01-01,137184.0
