DATE,value
1989-01-01,37030.0
1993-01-01,40330.0
1995-01-01,44776.0
1997-01-01,51300.0
1998-01-01,52435.0
1999-01-01,52893.0
2000-01-01,55158.0
2001-01-01,53982.0
2002-01-01,53644.0
2003-01-01,53541.0
2004-01-01,55969.0
2005-01-01,58351.0
2006-01-01,63291.0
2007-01-01,66969.0
2008-01-01,70091.0
2009-01-01,67706.0
2010-01-01,66147.0
2011-01-01,68596.0
2012-01-01,68944.0
2013-01-01,71779.0
2014-01-01,75738.0
2015-01-01,81816.0
2016-01-01,85907.0
2017-01-01,89519.0
2018-01-01,94822.0
2019-01-01,102338.0
2020-01-01,102620.0
2021-01-01,110351.0
2022-01-01,116044.0
2023-01-01,120672.0
2024-01-01,121984.0
