DATE,value
1989-01-01,38596.0
1993-01-01,42328.0
1995-01-01,42904.0
1997-01-01,47825.0
1998-01-01,49412.0
1999-01-01,49778.0
2000-01-01,51309.0
2001-01-01,51313.0
2002-01-01,50500.0
2003-01-01,51453.0
2004-01-01,52097.0
2005-01-01,54342.0
2006-01-01,53349.0
2007-01-01,56864.0
2008-01-01,57782.0
2009-01-01,56939.0
2010-01-01,55290.0
2011-01-01,55131.0
2012-01-01,56409.0
2013-01-01,59284.0
2014-01-01,60093.0
2015-01-01,61569.0
2016-01-01,62756.0
2017-01-01,64926.0
2018-01-01,66992.0
2019-01-01,70161.0
2020-01-01,68964.0
2021-01-01,72507.0
2022-01-01,79609.0
2023-01-01,81631.0
2024-01-01,84109.0
