DATE,value
1989-01-01,27575.0
1993-01-01,30354.0
1995-01-01,32650.0
1997-01-01,35994.0
1998-01-01,37362.0
1999-01-01,38639.0
2000-01-01,40987.0
2001-01-01,40922.0
2002-01-01,42407.0
2003-01-01,43304.0
2004-01-01,44850.0
2005-01-01,45084.0
2006-01-01,46751.0
2007-01-01,50485.0
2008-01-01,49762.0
2009-01-01,47129.0
2010-01-01,46043.0
2011-01-01,46592.0
2012-01-01,46534.0
2013-01-01,49510.0
2014-01-01,50758.0
2015-01-01,51710.0
2016-01-01,54509.0
2017-01-01,54741.0
2018-01-01,58361.0
2019-01-01,61133.0
2020-01-01,65272.0
2021-01-01,65818.0
2022-01-01,74091.0
2023-01-01,76528.0
2024-01-01,84691.0
