DATE,value
1989-01-01,29322.0
1993-01-01,31422.0
1995-01-01,33682.0
1996-01-01,34436.0
1997-01-01,34980.0
1998-01-01,36442.0
1999-01-01,38654.0
2000-01-01,40606.0
2001-01-01,41112.0
2002-01-01,40617.0
2003-01-01,43215.0
2004-01-01,46211.0
2005-01-01,48078.0
2006-01-01,51746.0
2007-01-01,54812.0
2008-01-01,58553.0
2009-01-01,58906.0
2010-01-01,60729.0
2011-01-01,62087.0
2012-01-01,65231.0
2013-01-01,66326.0
2014-01-01,69992.0
2015-01-01,73115.0
2016-01-01,74093.0
2017-01-01,80153.0
2018-01-01,82533.0
2019-01-01,90395.0
2020-01-01,91957.0
2021-01-01,91072.0
2022-01-01,99897.0
2023-01-01,104643.0
2024-01-01,109289.0
