Metro,Avg_Price,Avg_HAI,Recent_Vol,Full_Vol,Avg_YoY_Return,Latest_Price,Latest_HAI
"Los Angeles, CA",748359.3829329344,52.31665730268198,0.052639041587989835,0.10357779121754868,0.06230331348847727,968608.4140079924,41.89434681408444
"San Francisco, CA",1003343.6051327088,60.587955978300656,0.06954531938094627,0.09797844697422231,0.05465256199086892,1149215.3638003822,52.765227216736946
"San Diego, CA",720993.2981592333,63.994085028518384,0.06297503241636355,0.10519410947022279,0.06828067284149551,946365.2786881874,51.90260863898257
"Boston, MA",565454.851256733,70.70197339598113,0.03256215679194607,0.060126335615458874,0.060599142373031274,741868.4368393611,58.7465020019318
"Sacramento, CA",486681.9228909987,79.93857405059128,0.06511290245838101,0.1218005029817909,0.05909614432794616,582707.1709126614,71.58800496302233
"Denver, CO",486041.45929178054,81.47575637170496,0.06647931520656383,0.0632069970730816,0.06742980346520139,573221.0447101688,71.00068642457462
"Baltimore, MD",331444.86835479265,81.77822961070746,0.028103714748332533,0.07057269947578136,0.03846870412860545,405877.479066236,69.90696361463176
"Portland, OR",462099.33981647476,83.37228135489764,0.06084576650766973,0.07859642076086996,0.06325089255498367,552021.6446846281,72.88928916639306
"New York, NY",553549.1297829023,84.6490547683631,0.023185072906374657,0.06150007426554527,0.050302930563258456,727625.4875807377,67.03086242129251
"Miami, FL",358869.77443037933,87.21510011981076,0.06697811627181549,0.12231583529004238,0.0794508344511863,475621.998845266,74.44370285662588
"Riverside, CA",448060.428120389,89.09511388694662,0.06849467185995434,0.13586276358014437,0.07149595245392533,585378.1058765798,70.84289883421697
"Philadelphia, PA",290824.6057629078,90.90506479856832,0.0319069956192005,0.05768488836280458,0.05543398879570319,390463.0229220392,68.45258977210243
"Seattle, WA",591391.41310973,92.78914444180893,0.0701191708087956,0.08823294151789207,0.07886248912730932,750279.186061197,70.66444492947855
"Washington, DC",481757.8033429156,96.78856622297748,0.03063683267559011,0.08196017199061752,0.039839406171850535,583012.938093478,84.72228138211784
"Las Vegas, NV",331542.2647213963,104.50649301955922,0.07811135214765617,0.15092514303381965,0.07841063126355295,430649.5974628375,85.85566426148178
"Phoenix, AZ",352694.2566296914,110.7255743056755,0.09144704244506816,0.14052383708796515,0.07457013578889636,448352.35309853294,91.38273884857865
"Austin, TX",392633.4628945646,111.25545500379197,0.12056380360431078,0.08802987343471592,0.0590569805957372,428524.1177891283,100.89581187066972
"Dallas, TX",300720.5548508881,114.42429168459789,0.07456266099550028,0.06248645194111659,0.07192847280048534,366823.2101355172,98.82317247882749
"Orlando, FL",301431.98213418457,115.59135460546648,0.06959542498192421,0.12271736822023575,0.07562898215000152,387733.0741856368,97.57050757461354
"Tampa, FL",281052.0856282938,127.17739720328365,0.08648346974473956,0.1157533703572272,0.08221251458025773,360737.7266124073,109.70657488038049
"Houston, TX",257160.34779174734,131.047488513564,0.05759801535120383,0.051267231742042015,0.0549775482511077,308305.81214176427,108.40117434859981
"San Antonio, TX",240332.28872695862,133.42645763428175,0.06247766024421861,0.05260060452967838,0.05375665735036778,280297.0273029063,114.76010686870137
"Minneapolis, MN",320465.5012463648,133.54554805364677,0.0343796290961613,0.0660076197477764,0.05201141670379038,393773.9471880485,106.48175681346932
"Chicago, IL",269188.93961655145,135.00866681938749,0.026256599955297635,0.06263807669574539,0.05176808006476253,353998.2425005846,103.41510604692952
"Detroit, MI",200112.51556359147,135.1025154090384,0.03357028623391636,0.09458176762237784,0.07277739038268805,269079.9667620433,97.08815209525964
"Charlotte, NC",289674.5638257662,137.3347254019944,0.06706331270837056,0.06431790838508936,0.0782529669898306,390320.98576715327,105.31506713628266
"Atlanta, GA",294623.39863229584,142.3472497534532,0.06881920512357385,0.08245448358198469,0.07711513583548599,382937.5931882046,119.68725731614578
"Cincinnati, OH",227625.22465850602,145.11233052857304,0.034512127816929986,0.04513959012555205,0.06574919114472164,311269.73243333615,103.74202346400698
"St. Louis, MO",210761.75810853377,179.25671563719155,0.029278590206498638,0.044322791379430466,0.0543358216015411,276877.7014272255,135.092865481079
"Pittsburgh, PA",187490.17255820121,182.87558785376743,0.032999829808081575,0.02867146523238215,0.047243422037335704,231356.03044424407,156.37181558474776
