UserID,PlanName,MonthlyFee,SubscriptionStart,SubscriptionEnd,IsActive
10000,Premium Cloud Storage,14.99,2022-02-22,2023-03-06,False
10002,Premium Cloud Storage,9.99,2022-02-22,2022-06-24,False
10008,Premium Cloud Storage,9.99,2022-04-21,2022-08-16,False
10014,Premium Cloud Storage,14.99,2022-05-29,,True
10015,Premium Cloud Storage,14.99,2022-07-12,,True
10019,Premium Cloud Storage,14.99,2022-10-28,,True
10021,Premium Cloud Storage,14.99,2022-10-08,,True
10025,Premium Cloud Storage,9.99,2022-11-27,,True
10036,Premium Cloud Storage,14.99,2022-11-01,,True
10040,Premium Cloud Storage,14.99,2022-02-06,,True
10046,Premium Cloud Storage,14.99,2022-09-15,,True
10048,Premium Cloud Storage,9.99,2022-12-28,2023-01-13,False
10056,Premium Cloud Storage,14.99,2022-12-10,,True
10061,Premium Cloud Storage,14.99,2022-04-01,2023-02-05,False
10068,Premium Cloud Storage,14.99,2022-05-27,,True
10072,Premium Cloud Storage,14.99,2022-09-15,2022-12-14,False
10078,Premium Cloud Storage,14.99,2022-08-05,,True
10082,Premium Cloud Storage,14.99,2023-01-01,,True
10083,Premium Cloud Storage,14.99,2022-09-14,,True
10086,Premium Cloud Storage,9.99,2022-09-08,,True
10087,Premium Cloud Storage,9.99,2022-12-10,,True
10092,Premium Cloud Storage,9.99,2022-01-31,2022-12-20,False
10094,Premium Cloud Storage,9.99,2022-12-18,,True
10095,Premium Cloud Storage,9.99,2022-05-28,,True
10103,Premium Cloud Storage,9.99,2022-12-08,,True
10109,Premium Cloud Storage,14.99,2022-10-05,,True
10110,Premium Cloud Storage,14.99,2022-05-03,,True
10111,Premium Cloud Storage,14.99,2022-07-31,2022-10-30,False
10116,Premium Cloud Storage,9.99,2022-02-19,,True
10118,Premium Cloud Storage,9.99,2022-01-29,2023-02-20,False
10122,Premium Cloud Storage,14.99,2022-12-19,,True
10123,Premium Cloud Storage,14.99,2022-11-08,,True
10126,Premium Cloud Storage,9.99,2022-03-25,2022-04-08,False
10134,Premium Cloud Storage,9.99,2022-10-08,,True
10136,Premium Cloud Storage,9.99,2022-03-06,2022-03-07,False
10138,Premium Cloud Storage,14.99,2022-08-27,,True
10145,Premium Cloud Storage,14.99,2022-09-21,2022-10-14,False
10147,Premium Cloud Storage,9.99,2022-06-30,,True
10149,Premium Cloud Storage,14.99,2022-08-21,,True
10150,Premium Cloud Storage,9.99,2022-03-30,2023-03-28,False
10155,Premium Cloud Storage,14.99,2022-04-04,,True
10157,Premium Cloud Storage,9.99,2022-02-05,,True
10166,Premium Cloud Storage,14.99,2022-06-24,2022-07-18,False
10170,Premium Cloud Storage,9.99,2022-04-02,2022-08-03,False
10174,Premium Cloud Storage,9.99,2022-08-27,2023-01-25,False
10175,Premium Cloud Storage,14.99,2022-12-29,,True
10176,Premium Cloud Storage,9.99,2022-10-03,2022-11-10,False
10177,Premium Cloud Storage,14.99,2022-10-14,,True
10188,Premium Cloud Storage,9.99,2022-04-30,2022-08-15,False
10191,Premium Cloud Storage,9.99,2022-01-16,2023-01-05,False
10194,Premium Cloud Storage,14.99,2022-09-19,,True
10195,Premium Cloud Storage,14.99,2022-04-04,,True
10197,Premium Cloud Storage,9.99,2022-07-16,,True
10202,Premium Cloud Storage,14.99,2022-06-11,,True
10204,Premium Cloud Storage,9.99,2022-03-27,2022-05-15,False
10206,Premium Cloud Storage,14.99,2022-05-11,,True
10207,Premium Cloud Storage,9.99,2022-10-14,2023-02-04,False
10210,Premium Cloud Storage,9.99,2022-01-29,2022-04-22,False
10211,Premium Cloud Storage,9.99,2022-06-11,2023-02-13,False
10212,Premium Cloud Storage,9.99,2022-09-21,,True
10213,Premium Cloud Storage,14.99,2022-07-19,2023-03-09,False
10215,Premium Cloud Storage,14.99,2022-02-10,2023-04-15,False
10224,Premium Cloud Storage,14.99,2022-06-03,,True
10226,Premium Cloud Storage,9.99,2022-09-15,,True
10234,Premium Cloud Storage,14.99,2022-08-19,2022-10-16,False
10236,Premium Cloud Storage,14.99,2022-07-24,2023-03-30,False
10240,Premium Cloud Storage,9.99,2022-01-27,2022-05-12,False
10242,Premium Cloud Storage,9.99,2022-08-12,2022-12-29,False
10244,Premium Cloud Storage,14.99,2022-08-27,,True
10248,Premium Cloud Storage,9.99,2022-05-07,2022-06-19,False
10249,Premium Cloud Storage,9.99,2022-05-29,,True
10250,Premium Cloud Storage,14.99,2022-07-14,,True
10258,Premium Cloud Storage,9.99,2022-10-30,,True
10262,Premium Cloud Storage,14.99,2022-12-28,,True
10264,Premium Cloud Storage,9.99,2022-01-14,2022-07-30,False
10268,Premium Cloud Storage,14.99,2022-07-10,2023-02-25,False
10272,Premium Cloud Storage,9.99,2022-07-23,2022-08-04,False
10279,Premium Cloud Storage,9.99,2022-03-23,,True
10281,Premium Cloud Storage,14.99,2022-11-25,2023-01-23,False
10282,Premium Cloud Storage,14.99,2022-07-12,,True
10293,Premium Cloud Storage,14.99,2022-05-24,,True
10294,Premium Cloud Storage,14.99,2022-06-26,2022-11-07,False
10297,Premium Cloud Storage,14.99,2022-03-30,,True
10298,Premium Cloud Storage,9.99,2022-07-06,2022-11-12,False
10299,Premium Cloud Storage,14.99,2022-11-12,,True
10300,Premium Cloud Storage,14.99,2022-01-13,2022-05-30,False
10304,Premium Cloud Storage,9.99,2022-10-21,2023-05-11,False
10307,Premium Cloud Storage,14.99,2022-04-13,,True
10309,Premium Cloud Storage,14.99,2022-01-22,,True
10313,Premium Cloud Storage,9.99,2022-03-09,,True
10315,Premium Cloud Storage,9.99,2022-08-15,2022-11-24,False
10319,Premium Cloud Storage,14.99,2022-09-22,,True
10321,Premium Cloud Storage,9.99,2022-01-29,,True
10329,Premium Cloud Storage,14.99,2022-01-14,,True
10353,Premium Cloud Storage,14.99,2022-06-30,,True
10355,Premium Cloud Storage,9.99,2022-02-22,2022-06-02,False
10357,Premium Cloud Storage,9.99,2022-04-15,2022-05-19,False
10361,Premium Cloud Storage,9.99,2022-07-11,,True
10376,Premium Cloud Storage,9.99,2022-07-16,,True
10380,Premium Cloud Storage,14.99,2022-08-08,,True
10394,Premium Cloud Storage,14.99,2022-11-09,2023-01-23,False
10396,Premium Cloud Storage,9.99,2022-09-17,2023-03-23,False
10410,Premium Cloud Storage,14.99,2022-06-30,,True
10412,Premium Cloud Storage,9.99,2022-04-09,2022-11-12,False
10416,Premium Cloud Storage,14.99,2022-02-10,2022-09-06,False
10422,Premium Cloud Storage,14.99,2022-03-09,,True
10424,Premium Cloud Storage,14.99,2022-03-07,,True
10425,Premium Cloud Storage,9.99,2022-11-11,,True
10427,Premium Cloud Storage,9.99,2022-06-17,2022-10-02,False
10433,Premium Cloud Storage,14.99,2022-05-31,2022-07-24,False
10434,Premium Cloud Storage,14.99,2022-12-05,,True
10435,Premium Cloud Storage,9.99,2022-04-10,,True
10436,Premium Cloud Storage,14.99,2022-08-10,2023-01-27,False
10437,Premium Cloud Storage,9.99,2022-02-22,,True
10440,Premium Cloud Storage,14.99,2022-10-04,,True
10442,Premium Cloud Storage,14.99,2022-10-01,,True
10447,Premium Cloud Storage,9.99,2022-04-06,,True
10456,Premium Cloud Storage,14.99,2022-05-10,,True
10463,Premium Cloud Storage,9.99,2022-12-20,2023-04-11,False
10465,Premium Cloud Storage,14.99,2022-08-31,,True
10466,Premium Cloud Storage,14.99,2022-10-07,2023-01-29,False
10469,Premium Cloud Storage,9.99,2022-02-18,,True
10472,Premium Cloud Storage,14.99,2022-05-14,2022-08-29,False
10473,Premium Cloud Storage,9.99,2022-08-28,,True
10477,Premium Cloud Storage,9.99,2022-12-23,2023-02-27,False
10478,Premium Cloud Storage,9.99,2022-07-11,,True
10483,Premium Cloud Storage,9.99,2022-11-20,,True
10485,Premium Cloud Storage,9.99,2022-08-03,,True
10486,Premium Cloud Storage,14.99,2022-05-03,2022-06-29,False
10489,Premium Cloud Storage,9.99,2022-02-18,2022-05-17,False
10493,Premium Cloud Storage,14.99,2022-01-18,2022-03-11,False
10497,Premium Cloud Storage,14.99,2022-03-12,2022-05-15,False
10516,Premium Cloud Storage,14.99,2022-01-15,2022-06-02,False
10518,Premium Cloud Storage,9.99,2022-06-04,,True
10521,Premium Cloud Storage,14.99,2022-10-08,,True
10525,Premium Cloud Storage,9.99,2022-12-21,,True
10528,Premium Cloud Storage,14.99,2022-10-08,,True
10536,Premium Cloud Storage,9.99,2022-07-13,,True
10539,Premium Cloud Storage,14.99,2022-08-04,,True
10542,Premium Cloud Storage,14.99,2022-11-23,2022-12-12,False
10559,Premium Cloud Storage,9.99,2022-11-15,2023-02-19,False
10561,Premium Cloud Storage,14.99,2022-06-24,,True
10562,Premium Cloud Storage,14.99,2022-11-29,,True
10563,Premium Cloud Storage,14.99,2022-02-15,,True
10564,Premium Cloud Storage,14.99,2022-07-26,,True
10568,Premium Cloud Storage,9.99,2022-02-08,2022-09-23,False
10569,Premium Cloud Storage,14.99,2022-03-27,2022-03-28,False
10575,Premium Cloud Storage,9.99,2022-07-16,2023-01-29,False
10576,Premium Cloud Storage,14.99,2022-08-30,2022-12-23,False
10579,Premium Cloud Storage,14.99,2022-06-18,2022-08-31,False
