UserID,LogDate,AppOpens,MinutesActive
10000,2023-03-24,5,16.4
10000,2023-03-27,6,20.8
10000,2023-03-05,8,41.2
10000,2023-03-09,6,12.7
10000,2023-03-13,3,34.4
10000,2023-03-19,9,20.8
10000,2023-03-14,5,34.5
10000,2023-03-06,6,4.2
10000,2023-03-17,4,29.5
10000,2023-03-29,5,17.1
10000,2023-03-15,7,12.7
10000,2023-03-01,9,38.3
10000,2023-03-23,8,23.7
10000,2023-03-21,3,16.3
10000,2023-03-03,3,14.0
10000,2023-03-07,5,5.1
10000,2023-03-22,8,38.8
10000,2023-03-02,5,24.9
10000,2023-03-11,3,4.7
10000,2023-03-25,4,16.2
10000,2023-03-12,9,15.4
10000,2023-03-30,2,3.4
10000,2023-03-26,7,29.3
10000,2023-03-20,8,32.2
10000,2023-03-31,9,20.9
10001,2023-03-12,5,33.2
10001,2023-03-22,4,42.6
10001,2023-03-01,4,6.4
10001,2023-03-04,8,18.9
10001,2023-03-19,9,23.3
10001,2023-03-06,8,19.2
10002,2023-03-19,5,33.7
10002,2023-03-26,9,5.3
10002,2023-03-18,7,11.0
10002,2023-03-04,3,38.3
10002,2023-03-06,1,44.3
10002,2023-03-17,2,7.8
10002,2023-03-31,3,11.5
10002,2023-03-20,8,35.1
10002,2023-03-29,7,33.2
10002,2023-03-14,2,23.2
10002,2023-03-13,1,15.4
10002,2023-03-24,8,32.6
10002,2023-03-25,2,13.8
10002,2023-03-07,4,34.9
10002,2023-03-15,5,17.3
10003,2023-03-14,6,25.6
10003,2023-03-20,7,39.3
10003,2023-03-05,4,30.3
10003,2023-03-22,7,22.7
10003,2023-03-13,2,19.0
10003,2023-03-29,2,4.2
10003,2023-03-30,6,21.4
10003,2023-03-07,6,39.8
10003,2023-03-19,4,27.3
10003,2023-03-10,1,13.9
10003,2023-03-26,6,28.0
10003,2023-03-28,5,3.5
10003,2023-03-01,5,31.1
10003,2023-03-08,4,38.8
10003,2023-03-11,2,18.0
10003,2023-03-17,4,9.8
10003,2023-03-25,3,32.5
10003,2023-03-09,4,17.4
10003,2023-03-31,9,12.4
10004,2023-03-17,4,30.9
10004,2023-03-27,1,4.7
10004,2023-03-15,3,18.8
10004,2023-03-29,9,13.1
10004,2023-03-22,9,19.3
10004,2023-03-30,4,11.7
10004,2023-03-10,9,8.1
10004,2023-03-24,3,15.8
10004,2023-03-07,2,18.6
10004,2023-03-02,9,31.7
10004,2023-03-09,7,37.4
10004,2023-03-03,2,16.4
10004,2023-03-05,8,16.9
10004,2023-03-25,5,22.1
10004,2023-03-16,2,40.6
10004,2023-03-19,2,41.7
10004,2023-03-26,4,31.8
10004,2023-03-21,7,12.6
10004,2023-03-31,8,30.1
10004,2023-03-04,8,20.1
10004,2023-03-13,4,43.0
10004,2023-03-11,4,5.0
10004,2023-03-12,2,5.1
10004,2023-03-01,5,6.8
10004,2023-03-20,2,11.0
10004,2023-03-18,6,21.3
10005,2023-03-21,3,11.3
10005,2023-03-02,7,4.2
10005,2023-03-17,8,43.6
10005,2023-03-16,2,7.8
10005,2023-03-08,1,6.4
10005,2023-03-26,9,25.3
10005,2023-03-30,7,6.9
10005,2023-03-24,5,36.2
10005,2023-03-06,6,36.9
10005,2023-03-11,3,15.7
10005,2023-03-27,9,35.1
10005,2023-03-19,8,38.0
10005,2023-03-22,3,22.2
10005,2023-03-14,9,11.2
10005,2023-03-18,2,33.6
10006,2023-03-08,9,22.2
10006,2023-03-26,7,10.5
10006,2023-03-09,6,32.0
10006,2023-03-05,6,44.7
10006,2023-03-16,7,37.0
10006,2023-03-06,4,33.7
10006,2023-03-20,1,9.1
10006,2023-03-24,7,32.0
10006,2023-03-01,1,36.2
10006,2023-03-17,3,14.9
10006,2023-03-07,1,11.8
10006,2023-03-22,2,25.0
10006,2023-03-18,7,35.4
10006,2023-03-30,7,8.4
10006,2023-03-13,6,29.3
10006,2023-03-27,6,13.3
10006,2023-03-19,6,29.6
10006,2023-03-15,1,10.0
10007,2023-03-15,1,36.5
10007,2023-03-30,8,44.3
10007,2023-03-14,9,24.0
10007,2023-03-05,7,23.4
10007,2023-03-27,2,6.4
10007,2023-03-26,4,33.8
10007,2023-03-10,6,3.5
10007,2023-03-24,3,29.3
10008,2023-03-05,5,39.7
10008,2023-03-10,3,22.5
10008,2023-03-04,5,7.8
10008,2023-03-07,3,10.4
10008,2023-03-26,1,18.9
10008,2023-03-28,6,36.0
10008,2023-03-31,2,40.3
10008,2023-03-20,1,38.4
10008,2023-03-18,9,34.9
10008,2023-03-08,1,2.6
10008,2023-03-24,5,40.5
10008,2023-03-12,4,25.0
10008,2023-03-29,4,33.5
10009,2023-03-18,8,42.8
10009,2023-03-10,5,33.2
10009,2023-03-11,4,23.4
10009,2023-03-23,2,12.9
10009,2023-03-03,9,13.5
10009,2023-03-22,8,36.0
10009,2023-03-31,4,2.9
10009,2023-03-06,1,36.9
10010,2023-03-15,4,33.6
10010,2023-03-31,7,39.0
10010,2023-03-25,6,40.2
10010,2023-03-30,6,15.4
10010,2023-03-04,2,25.3
10010,2023-03-21,7,40.6
10010,2023-03-11,9,35.9
10010,2023-03-08,1,16.3
10010,2023-03-16,3,44.2
10010,2023-03-06,7,8.1
10010,2023-03-05,4,16.1
10010,2023-03-01,7,41.6
10010,2023-03-13,5,9.7
10010,2023-03-28,4,6.1
10010,2023-03-27,3,30.0
10010,2023-03-03,9,28.3
10010,2023-03-22,4,4.3
10010,2023-03-19,3,21.8
10010,2023-03-12,6,21.7
10012,2023-03-25,6,14.8
10012,2023-03-26,1,39.2
10013,2023-03-08,7,32.7
10013,2023-03-01,1,4.6
10013,2023-03-28,8,42.9
10013,2023-03-12,5,11.6
10013,2023-03-29,9,27.1
10013,2023-03-20,7,10.9
10013,2023-03-30,7,34.6
10013,2023-03-02,5,28.0
10013,2023-03-22,8,41.5
10013,2023-03-07,4,24.9
10013,2023-03-10,9,19.3
10013,2023-03-26,4,32.0
10013,2023-03-18,5,5.3
10013,2023-03-06,5,36.4
10013,2023-03-17,9,24.0
