UserID,DeviceType,PurchaseDate,OnboardingVersion,CohortMonth
10000,Security Camera,2022-02-20,Control,2022-02
10001,Smart Doorbell,2022-03-12,Variant,2022-03
10002,Smart Doorbell,2022-02-17,Variant,2022-02
10003,Smart Doorbell,2022-01-19,Variant,2022-01
10004,Security Camera,2022-09-19,Variant,2022-09
10005,Security Camera,2022-03-25,Control,2022-03
10006,Security Camera,2022-06-04,Variant,2022-06
10007,Smart Doorbell,2022-02-22,Control,2022-02
10008,Smart Doorbell,2022-04-17,Control,2022-04
10009,Smart Doorbell,2022-12-23,Variant,2022-12
10010,Security Camera,2022-10-31,Control,2022-10
10011,Smart Doorbell,2022-05-15,Control,2022-05
10012,Smart Doorbell,2022-03-10,Variant,2022-03
10013,Security Camera,2022-01-11,Control,2022-01
10014,Security Camera,2022-05-23,Variant,2022-05
10015,Security Camera,2022-07-11,Variant,2022-07
10016,Security Camera,2022-03-10,Variant,2022-03
10017,Smart Doorbell,2022-01-23,Control,2022-01
10018,Smart Doorbell,2022-06-30,Control,2022-06
10019,Security Camera,2022-10-20,Control,2022-10
10020,Smart Doorbell,2022-01-09,Control,2022-01
10021,Security Camera,2022-09-28,Control,2022-09
10022,Security Camera,2022-04-03,Variant,2022-04
10023,Security Camera,2022-01-17,Control,2022-01
10024,Smart Doorbell,2022-06-03,Variant,2022-06
10025,Smart Doorbell,2022-11-24,Control,2022-11
10026,Security Camera,2022-05-29,Variant,2022-05
10027,Smart Doorbell,2022-09-24,Variant,2022-09
10028,Smart Doorbell,2022-11-24,Control,2022-11
10029,Security Camera,2022-04-16,Control,2022-04
10030,Smart Doorbell,2022-02-04,Variant,2022-02
10031,Security Camera,2022-04-29,Variant,2022-04
10032,Security Camera,2022-01-14,Variant,2022-01
10033,Smart Doorbell,2022-01-14,Control,2022-01
10034,Smart Doorbell,2022-09-23,Control,2022-09
10035,Smart Doorbell,2022-05-20,Variant,2022-05
10036,Security Camera,2022-10-21,Variant,2022-10
10037,Security Camera,2022-12-30,Control,2022-12
10038,Smart Doorbell,2022-04-29,Variant,2022-04
10039,Smart Doorbell,2022-08-26,Control,2022-08
10040,Security Camera,2022-02-03,Control,2022-02
10041,Smart Doorbell,2022-06-18,Control,2022-06
10042,Security Camera,2022-01-10,Control,2022-01
10043,Smart Doorbell,2022-05-02,Variant,2022-05
10044,Security Camera,2022-05-25,Control,2022-05
10045,Smart Doorbell,2022-08-11,Control,2022-08
10046,Security Camera,2022-09-14,Variant,2022-09
10047,Smart Doorbell,2022-09-25,Variant,2022-09
10048,Smart Doorbell,2022-12-25,Variant,2022-12
10049,Security Camera,2022-01-04,Variant,2022-01
10050,Smart Doorbell,2022-12-20,Control,2022-12
10051,Smart Doorbell,2022-04-16,Variant,2022-04
10052,Smart Doorbell,2022-03-26,Variant,2022-03
10053,Smart Doorbell,2022-08-02,Variant,2022-08
10054,Smart Doorbell,2022-05-01,Control,2022-05
10055,Smart Doorbell,2022-05-12,Control,2022-05
10056,Security Camera,2022-12-04,Variant,2022-12
10057,Security Camera,2022-07-16,Control,2022-07
10058,Security Camera,2022-01-19,Variant,2022-01
10059,Security Camera,2022-05-10,Variant,2022-05
10060,Security Camera,2022-01-12,Variant,2022-01
10061,Security Camera,2022-03-22,Variant,2022-03
10062,Smart Doorbell,2022-11-26,Variant,2022-11
10063,Security Camera,2022-12-20,Control,2022-12
10064,Security Camera,2022-09-19,Variant,2022-09
10065,Smart Doorbell,2022-05-05,Variant,2022-05
10066,Security Camera,2022-11-03,Control,2022-11
10067,Smart Doorbell,2022-09-24,Control,2022-09
10068,Security Camera,2022-05-20,Control,2022-05
10069,Smart Doorbell,2022-11-25,Variant,2022-11
10070,Smart Doorbell,2022-01-02,Control,2022-01
10071,Security Camera,2022-01-08,Variant,2022-01
10072,Security Camera,2022-09-07,Control,2022-09
10073,Smart Doorbell,2022-05-19,Control,2022-05
10074,Smart Doorbell,2022-05-04,Variant,2022-05
10075,Smart Doorbell,2022-11-05,Control,2022-11
10076,Smart Doorbell,2022-08-16,Variant,2022-08
10077,Security Camera,2022-01-10,Variant,2022-01
10078,Security Camera,2022-07-31,Variant,2022-07
10079,Security Camera,2022-04-22,Control,2022-04
10080,Smart Doorbell,2022-01-08,Variant,2022-01
10081,Smart Doorbell,2022-10-19,Variant,2022-10
10082,Security Camera,2022-12-28,Variant,2022-12
10083,Security Camera,2022-09-10,Control,2022-09
10084,Security Camera,2022-01-14,Variant,2022-01
10085,Security Camera,2022-08-28,Variant,2022-08
10086,Smart Doorbell,2022-08-30,Variant,2022-08
10087,Smart Doorbell,2022-12-08,Control,2022-12
10088,Smart Doorbell,2022-05-29,Control,2022-05
10089,Smart Doorbell,2022-08-24,Control,2022-08
10090,Security Camera,2022-11-02,Control,2022-11
10091,Smart Doorbell,2022-06-16,Control,2022-06
10092,Smart Doorbell,2022-01-20,Control,2022-01
10093,Smart Doorbell,2022-08-04,Variant,2022-08
10094,Smart Doorbell,2022-12-09,Control,2022-12
10095,Smart Doorbell,2022-05-15,Variant,2022-05
10096,Smart Doorbell,2022-05-09,Control,2022-05
10097,Smart Doorbell,2022-10-21,Control,2022-10
10098,Security Camera,2022-09-03,Control,2022-09
10099,Security Camera,2022-07-08,Control,2022-07
10100,Security Camera,2022-02-13,Variant,2022-02
10101,Smart Doorbell,2022-03-27,Variant,2022-03
