timestamp,order_id,event_type,side,price,size
2025-01-01 09:30:00.002,25349025,2,Bid,149.99,85
2025-01-01 09:30:00.025,6935f05c,1,Ask,150.03,253
2025-01-01 09:30:00.026,6e5dec1a,1,Ask,150.02,110
2025-01-01 09:30:00.034,f84ba6f5,1,Ask,150.02,426
2025-01-01 09:30:00.040,e16c9ff3,2,Ask,150.03,86
2025-01-01 09:30:00.050,4b3149d7,3,Bid,149.99,22
2025-01-01 09:30:00.060,5ad88d34,1,Ask,150.02,50
2025-01-01 09:30:00.080,d7985bfd,1,Bid,150.0,20
2025-01-01 09:30:00.084,7a54245a,1,Ask,150.0,85
2025-01-01 09:30:00.096,6c87615d,1,Bid,149.97,56
2025-01-01 09:30:00.100,358a9c95,1,Ask,149.99,122
2025-01-01 09:30:00.127,fb5de2ad,1,Bid,149.96,76
2025-01-01 09:30:00.128,c6b99891,1,Bid,149.97,16
2025-01-01 09:30:00.131,2bb42193,1,Ask,150.03,131
2025-01-01 09:30:00.141,46ffbdc9,2,Bid,149.99,75
2025-01-01 09:30:00.151,9ec511b9,1,Ask,150.03,83
2025-01-01 09:30:00.161,ab1dee32,1,Ask,150.03,56
2025-01-01 09:30:00.173,5922cc71,1,Ask,150.02,288
2025-01-01 09:30:00.182,79854dc6,3,Bid,149.99,27
2025-01-01 09:30:00.191,1b67d22b,2,Bid,150.0,149
2025-01-01 09:30:00.204,8d99364f,3,Ask,150.03,40
2025-01-01 09:30:00.210,071773df,1,Ask,150.02,692
2025-01-01 09:30:00.221,4b3b2add,3,Ask,150.04,329
2025-01-01 09:30:00.232,76fb1614,1,Bid,150.01,181
2025-01-01 09:30:00.243,be641dd4,2,Bid,150.02,311
2025-01-01 09:30:00.257,4621d525,1,Bid,150.02,386
2025-01-01 09:30:00.261,159a8b0a,3,Bid,150.03,29
2025-01-01 09:30:00.273,75d4ebfc,1,Bid,150.02,166
2025-01-01 09:30:00.284,317425e7,1,Bid,150.01,68
2025-01-01 09:30:00.290,c6df11d9,3,Ask,150.03,421
2025-01-01 09:30:00.304,b6f6473f,1,Bid,149.99,31
2025-01-01 09:30:00.310,49397202,2,Bid,150.01,175
2025-01-01 09:30:00.320,21344f17,1,Ask,150.03,44
2025-01-01 09:30:00.344,8f56dd8b,3,Bid,150.01,521
2025-01-01 09:30:00.356,64b4ea2b,2,Bid,150.0,87
2025-01-01 09:30:00.358,ac89032b,1,Bid,150.03,152
2025-01-01 09:30:00.361,a367d6b1,1,Bid,150.03,197
2025-01-01 09:30:00.370,c5c29089,2,Ask,150.05,33
2025-01-01 09:30:00.385,bbded49b,1,Ask,150.04,131
2025-01-01 09:30:00.392,91074ecb,1,Ask,150.02,412
2025-01-01 09:30:00.400,fdfbd72e,2,Bid,150.0,161
2025-01-01 09:30:00.413,03d837c1,1,Bid,150.0,29
2025-01-01 09:30:00.420,fe309f0f,1,Ask,150.08,53
2025-01-01 09:30:00.442,7ca3de0d,2,Bid,150.03,579
2025-01-01 09:30:00.441,c6d5a93b,2,Bid,150.04,296
2025-01-01 09:30:00.455,a571a2e9,1,Bid,150.02,257
2025-01-01 09:30:00.461,c9551475,1,Ask,150.05,46
2025-01-01 09:30:00.473,ccb133ad,1,Ask,150.06,97
2025-01-01 09:30:00.483,8fa2016c,2,Ask,150.08,61
2025-01-01 09:30:00.491,246e0ffe,1,Ask,150.07,41
2025-01-01 09:30:00.517,ae02dffe,1,Bid,150.04,248
2025-01-01 09:30:00.517,97b97f46,3,Bid,150.05,52
2025-01-01 09:30:00.534,824a7102,1,Ask,150.08,38
2025-01-01 09:30:00.541,c70823e7,2,Bid,150.05,300
2025-01-01 09:30:00.544,f9a583c0,1,Ask,150.08,624
2025-01-01 09:30:00.562,7d2f6dff,1,Ask,150.08,106
2025-01-01 09:30:00.560,42da4414,1,Bid,150.02,25
2025-01-01 09:30:00.571,0595f817,1,Ask,150.04,98
2025-01-01 09:30:00.580,25fe130a,1,Bid,149.99,33
2025-01-01 09:30:00.591,8b0c2f3e,1,Bid,149.99,63
2025-01-01 09:30:00.602,8b3f5901,3,Ask,150.02,105
2025-01-01 09:30:00.611,1019677b,1,Bid,149.98,226
2025-01-01 09:30:00.628,2baf8c64,1,Bid,149.99,120
